"id","username","quiz_name","quiz_time","num_correct","num_total"
"1","pmb1","PV-R-A-S","2024-06-14 12:25:17.000000","0","8"
"2","pmb1","PV-R-A-S","2024-06-15 08:27:57.000000","0","4"
"3","pmb1","PV-R-A-S","2024-06-15 08:39:45.000000","0","4"
"4","pmb1","PV-R-A-S","2024-06-15 08:45:19.000000","0","4"
"5","pmb1","PV-R-A-S","2024-06-15 09:02:09.000000","0","4"
"6","pmb1","PV-R-A-S","2024-06-15 12:50:29.000000","1","4"
"7","pmb1","PV-R-A-S","2024-06-16 10:00:30.000000","0","4"
"8","pmb1","PV-R-A-S","2024-06-16 12:19:14.000000","2","4"
"9","pmb1","PV-R-A-S","2024-06-16 16:45:34.000000","0","4"
"11","pmb1","PV-R-A-S","2024-06-16 16:56:14.000000","0","4"
"12","pmb1","PV-R-A-S","2024-06-16 16:59:06.000000","0","4"
"13","pmb1","PV-R-A-S","2024-06-16 17:04:34.000000","0","4"
"14","pmb1","PV-R-A-S","2024-06-17 08:11:35.000000","0","4"
"15","pmb1","PV-R-A-S","2024-06-17 09:25:51.000000","1","4"
"16","pmb1","PV-R-A-S","2024-06-17 12:29:52.000000","0","4"
"17","pmb1","PV-R-A-S","2024-06-17 12:34:00.000000","2","4"
"18","pmb1","M-D","2024-06-18 08:08:19.000000","1","5"
"19","pmb1","ME","2024-06-24 17:44:37.000000","0","6"
"20","pmb1","AP","2024-06-24 17:45:13.000000","0","6"
"21","pmb1","LG","2024-06-24 17:45:50.000000","1","3"
"22","pmb1","DEC","2024-06-24 17:46:12.000000","0","5"
"23","pmb1","FR","2024-06-24 17:47:09.000000","0","9"
"24","pmb1","FR","2024-06-26 06:42:28.000000","0","8"
"25","pmb1","AS","2024-06-26 07:21:06.000000","2","4"
"26","pmb1","MD","2024-06-26 07:26:58.000000","5","5"
"27","pmb1","ME","2024-06-26 07:34:59.000000","6","6"
"28","pmb1","AP","2024-06-26 07:38:06.000000","3","6"
"29","pmb1","AS","2024-06-29 18:39:33.000000","1","4"
"30","pmb1","FR","2024-06-29 18:59:09.000000","2","8"
"31","pmb1","MD","2024-06-29 19:40:14.000000","3","5"
"32","pmb1","LG","2024-06-29 19:44:51.000000","3","3"
"33","pmb1","ME","2024-06-29 19:47:58.000000","4","6"
"34","pmb1","AP","2024-06-29 19:51:12.000000","5","6"
"35","pmb1","DEC","2024-06-29 19:54:31.000000","2","5"
"36","pmb1","ME","2024-06-30 11:50:32.000000","5","6"
"37","pmb1","AS","2024-07-05 16:17:55.000000","3","4"
"38","pmb1","AS","2024-07-05 16:31:20.000000","1","4"
"39","pmb1","AS","2024-07-05 16:41:25.000000","0","4"
"40","pmb1","AS","2024-07-06 06:59:42.000000","1","4"
"41","pmb1","AS","2024-07-06 07:03:20.000000","4","4"
"42","pmb1","ME","2024-07-06 07:35:22.000000","6","6"
"43","pmb1","ME","2024-07-06 07:42:06.000000","6","6"
"44","pmb1","DEC","2024-07-07 15:33:48.000000","3","5"
"45","pmb1","DEC","2024-07-07 15:41:52.000000","0","5"
"46","pmb1","DEC","2024-07-07 15:45:30.000000","0","5"
"47","pmb1","DEC","2024-07-07 15:47:07.000000","0","5"
"48","pmb1","DEC","2024-07-07 15:49:00.000000","0","5"
"49","pmb1","DEC","2024-07-07 15:50:29.000000","0","5"
"50","pmb1","DEC","2024-07-07 15:52:29.000000","0","5"
"51","pmb1","DEC","2024-07-07 15:53:02.000000","5","5"
"52","gr1","AS","2024-07-09 12:52:19.000000","4","4"
"53","gr2","AS","2024-07-09 12:53:50.000000","4","4"
"54","gr3","AS","2024-07-09 12:55:27.000000","4","4"
"55","gr5","AS","2024-07-09 12:58:06.000000","2","4"
"56","gr1","COM1","2024-07-09 16:23:49.000000","5","5"
"57","gr2","COM2","2024-07-09 16:33:26.000000","5","5"
"58","gr3","MD3","2024-07-11 13:09:34.000000","4","4"
"59","gr2","MD2","2024-07-11 13:11:40.000000","2","2"
"60","gr5","MD5","2024-07-11 13:19:20.000000","1","6"
"61","gr5","MD5","2024-07-11 14:19:59.000000","1","1"
"62","gr5","AS","2024-07-11 16:24:36.000000","1","4"
"63","gr5","PL5","2024-07-12 18:18:51.000000","0","6"
"64","gr5","PL5","2024-07-12 18:20:21.000000","2","6"
"65","pmb1","ME","2024-07-12 18:22:27.000000","0","8"
