username,quiz_name,category,grade,timestamp,date,time,num_total,num_correct,percent_correct,mastery,mastery_timestamp,mastery_date,mastery_time
CharlotteC14,AS1,AS,1,2024-07-24 11:43:24,2024-07-24,11:43:24,5,5,1.0,0,2024-12-10 14:22:42,2024-12-10,14:22:42
CyrusC3,AS2,AS,2,2024-07-24 11:47:02,2024-07-24,11:47:02,5,5,1.0,0,2024-08-28 12:50:34,2024-08-28,12:50:34
CharlotteC14,MD3,MD,3,2024-07-24 11:49:29,2024-07-24,11:49:29,4,3,0.75,0,2025-01-28 15:06:53,2025-01-28,15:06:53
FoxF2,AS1,AS,1,2024-07-24 11:57:14,2024-07-24,11:57:14,5,5,1.0,0,2025-03-06 15:01:13,2025-03-06,15:01:13
KnoxK2,MD,,4,2024-07-24 12:09:47,2024-07-24,12:09:47,5,3,0.6,0,,,
PaytonP4,MD3,,3,2024-07-24 12:17:07,2024-07-24,12:17:07,4,3,0.75,0,,,
PaytonP4,MD2,MD,2,2024-07-24 12:22:16,2024-07-24,12:22:16,2,2,1.0,0,2024-08-06 12:16:04,2024-08-06,12:16:04
KnoxK2,MD,,4,2024-07-24 12:19:32,2024-07-24,12:19:32,5,3,0.6,0,,,
OarielO,MD2,MD,2,2024-07-24 12:35:26,2024-07-24,12:35:26,2,2,1.0,0,2024-07-31 11:59:27,2024-07-31,11:59:27
OarielO,MD2,MD,2,2024-07-24 12:36:18,2024-07-24,12:36:18,2,2,1.0,0,2024-07-31 11:59:27,2024-07-31,11:59:27
PaytonP4,MD2,MD,2,2024-07-24 12:42:47,2024-07-24,12:42:47,2,1,0.5,0,2024-08-06 12:16:04,2024-08-06,12:16:04
PaytonP4,MD2,MD,2,2024-07-24 12:44:15,2024-07-24,12:44:15,2,1,0.5,0,2024-08-06 12:16:04,2024-08-06,12:16:04
PaytonP4,AS2,,2,2024-07-24 12:44:45,2024-07-24,12:44:45,5,4,0.8,0,,,
OarielO,MD3,MD,3,2024-07-24 12:42:43,2024-07-24,12:42:43,4,3,0.75,0,2024-11-19 12:47:41,2024-11-19,12:47:41
AyaA2,MD2,MD,2,2024-07-30 11:24:08,2024-07-30,11:24:08,2,2,1.0,0,2024-07-31 12:39:16,2024-07-31,12:39:16
AyaA2,AS2,,2,2024-07-30 11:25:20,2024-07-30,11:25:20,5,5,1.0,0,,,
AyaA2,COM2,CO,2,2024-07-30 11:31:46,2024-07-30,11:31:46,5,4,0.8,0,2024-07-31 12:52:12,2024-07-31,12:52:12
AyaA2,AS2,,2,2024-07-30 11:32:59,2024-07-30,11:32:59,5,4,0.8,0,,,
OamirO,AS1,AS,1,2024-07-30 11:33:04,2024-07-30,11:33:04,5,3,0.6,0,2024-08-29 12:13:10,2024-08-29,12:13:10
AyaA2,AS2,,2,2024-07-30 11:35:52,2024-07-30,11:35:52,5,3,0.6,0,,,
OamirO,AS1,AS,1,2024-07-30 11:39:12,2024-07-30,11:39:12,5,3,0.6,0,2024-08-29 12:13:10,2024-08-29,12:13:10
OamirO,AS1,AS,1,2024-07-30 11:42:49,2024-07-30,11:42:49,5,2,0.4,0,2024-08-29 12:13:10,2024-08-29,12:13:10
AyaA2,AS2,,2,2024-07-30 11:49:11,2024-07-30,11:49:11,5,5,1.0,0,,,
OamirO,AS2,,2,2024-07-30 11:50:32,2024-07-30,11:50:32,5,4,0.8,0,,,
OamirO,AS1,AS,1,2024-07-30 11:59:40,2024-07-30,11:59:40,5,5,1.0,0,2024-08-29 12:13:10,2024-08-29,12:13:10
CyrusC3,COM4,CO,4,2024-07-30 12:22:01,2024-07-30,12:22:01,5,3,0.6,0,2024-11-26 15:17:11,2024-11-26,15:17:11
OarielO,LG3,LG,3,2024-07-30 12:40:12,2024-07-30,12:40:12,5,4,0.8,0,2024-08-07 11:17:21,2024-08-07,11:17:21
OarielO,MD3,MD,3,2024-07-30 12:44:11,2024-07-30,12:44:11,4,4,1.0,0,2024-11-19 12:47:41,2024-11-19,12:47:41
CyrusC3,COM1,CO,1,2024-07-30 12:48:59,2024-07-30,12:48:59,5,3,0.6,0,2024-08-29 13:42:36,2024-08-29,13:42:36
OarielO,LG3,LG,3,2024-07-30 12:50:21,2024-07-30,12:50:21,5,4,0.8,0,2024-08-07 11:17:21,2024-08-07,11:17:21
OarielO,LG3,LG,3,2024-07-30 12:55:43,2024-07-30,12:55:43,5,4,0.8,0,2024-08-07 11:17:21,2024-08-07,11:17:21
CyrusC3,COM1,CO,1,2024-07-30 13:03:00,2024-07-30,13:03:00,5,5,1.0,0,2024-08-29 13:42:36,2024-08-29,13:42:36
OarielO,AS1,AS,1,2024-07-31 11:27:14,2024-07-31,11:27:14,5,5,1.0,0,2024-07-31 11:38:22,2024-07-31,11:38:22
CyrusC3,COM1,CO,1,2024-07-31 11:20:55,2024-07-31,11:20:55,5,5,1.0,0,2024-08-29 13:42:36,2024-08-29,13:42:36
CyrusC3,COM2,CO,2,2024-07-31 11:30:52,2024-07-31,11:30:52,5,5,1.0,0,2024-07-31 11:38:43,2024-07-31,11:38:43
CharlotteC14,AS1,AS,1,2024-07-31 11:31:05,2024-07-31,11:31:05,5,4,0.8,0,2024-12-10 14:22:42,2024-12-10,14:22:42
OarielO,AS1,AS,1,2024-07-31 11:32:16,2024-07-31,11:32:16,5,5,1.0,0,2024-07-31 11:38:22,2024-07-31,11:38:22
CyrusC3,COM2,CO,2,2024-07-31 11:33:18,2024-07-31,11:33:18,5,4,0.8,0,2024-07-31 11:38:43,2024-07-31,11:38:43
CharlotteC14,AS1,AS,1,2024-07-31 11:33:48,2024-07-31,11:33:48,5,4,0.8,0,2024-12-10 14:22:42,2024-12-10,14:22:42
CyrusC3,COM2,CO,2,2024-07-31 11:35:34,2024-07-31,11:35:34,5,5,1.0,0,2024-07-31 11:38:43,2024-07-31,11:38:43
OarielO,AS1,AS,1,2024-07-31 11:35:02,2024-07-31,11:35:02,5,5,1.0,0,2024-07-31 11:38:22,2024-07-31,11:38:22
OarielO,AS1,AS,1,2024-07-31 11:36:42,2024-07-31,11:36:42,5,5,1.0,0,2024-07-31 11:38:22,2024-07-31,11:38:22
CyrusC3,COM2,CO,2,2024-07-31 11:37:11,2024-07-31,11:37:11,5,5,1.0,0,2024-07-31 11:38:43,2024-07-31,11:38:43
OarielO,AS1,AS,1,2024-07-31 11:38:22,2024-07-31,11:38:22,5,5,1.0,1,2024-07-31 11:38:22,2024-07-31,11:38:22
CyrusC3,COM2,CO,2,2024-07-31 11:38:43,2024-07-31,11:38:43,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
CyrusC3,COM2,CO,2,2024-07-31 11:40:48,2024-07-31,11:40:48,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
OarielO,COM1,CO,1,2024-07-31 11:39:55,2024-07-31,11:39:55,5,5,1.0,0,2024-07-31 11:49:59,2024-07-31,11:49:59
CyrusC3,COM2,CO,2,2024-07-31 11:41:58,2024-07-31,11:41:58,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
CyrusC3,COM2,CO,2,2024-07-31 11:42:51,2024-07-31,11:42:51,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
CyrusC3,COM2,CO,2,2024-07-31 11:44:32,2024-07-31,11:44:32,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
CyrusC3,COM2,CO,2,2024-07-31 11:45:13,2024-07-31,11:45:13,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
OarielO,COM1,CO,1,2024-07-31 11:44:07,2024-07-31,11:44:07,5,5,1.0,0,2024-07-31 11:49:59,2024-07-31,11:49:59
CyrusC3,COM2,CO,2,2024-07-31 11:46:39,2024-07-31,11:46:39,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
OarielO,COM1,CO,1,2024-07-31 11:46:57,2024-07-31,11:46:57,5,5,1.0,0,2024-07-31 11:49:59,2024-07-31,11:49:59
CyrusC3,COM2,CO,2,2024-07-31 11:48:40,2024-07-31,11:48:40,5,5,1.0,1,2024-07-31 11:38:43,2024-07-31,11:38:43
OarielO,COM1,CO,1,2024-07-31 11:49:00,2024-07-31,11:49:00,5,5,1.0,0,2024-07-31 11:49:59,2024-07-31,11:49:59
OarielO,COM1,CO,1,2024-07-31 11:49:59,2024-07-31,11:49:59,5,5,1.0,1,2024-07-31 11:49:59,2024-07-31,11:49:59
CharlotteC14,AS1,AS,1,2024-07-31 11:49:37,2024-07-31,11:49:37,5,5,1.0,0,2024-12-10 14:22:42,2024-12-10,14:22:42
CyrusC3,MD2,MD,2,2024-07-31 11:54:31,2024-07-31,11:54:31,2,2,1.0,0,2024-08-06 12:10:39,2024-08-06,12:10:39
CharlotteC14,AS1,AS,1,2024-07-31 11:54:22,2024-07-31,11:54:22,5,4,0.8,0,2024-12-10 14:22:42,2024-12-10,14:22:42
CyrusC3,AS2,AS,2,2024-07-31 11:55:17,2024-07-31,11:55:17,5,2,0.4,0,2024-08-28 12:50:34,2024-08-28,12:50:34
